Название раздела,Название товара,Изображение,Артикул,Описание,Производитель
Бутыли,"Бутыль, БПК, со сменной пробкой и пластиковым колпачком 42х100мм 60мл",https://himbio.ru/upload/resize_cache/webp/upload/iblock/de6/de65b34be9dfaca9a68ef83a3f5ecbfb.webp,1250013,"– Соответствуют IS 9213
– Используется для определения ВПК в промышленных сточных водах, отходах и воде
– На каждой бутылке напечатанный индивидуальный номер",БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Бутыли,"Бутыль для реактивов, прозрачная, с притертой пробкой, градуирована 45 x 90 мм горлышко 14/23  60 мл",https://himbio.ru/upload/resize_cache/webp/upload/iblock/9cf/9cf0f8f847ebbdaa34432da7a56111f9.webp,1500013,"– Соответствуют IS 1388 (Часть II), ISO / DIN 4796 (Часть II)
– Эти узкие горлышка бутылей для хранения реактивов имеют прочное основание горлышка
– Все бутыли оснащены стойким матовым покрытым эмалью окном для маркировки
– Эти бутыли механически прочные и химически стойкие
– Поставляются с цельностеклянной пробкой",БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Бутыли,"Бутыль для реактивов, прозрачная, с притертой пробкой, градуирована 86х177 мм горл. 24/29  500 мл.",https://himbio.ru/upload/resize_cache/webp/upload/iblock/bce/bce16ec2ed9eafa721cf89e78f25748b.webp,1500024,"– Соответствуют IS 1388 (Часть II), ISO / DIN 4796 (Часть II)
– Эти узкие горлышка бутылей для хранения реактивов имеют прочное основание горлышка
– Все бутыли оснащены стойким матовым покрытым эмалью окном для маркировки
– Эти бутыли механически прочные и химически стойкие
– Поставляются с цельностеклянной пробкой",БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Бутыли,"Бутыль для реактивов, квадратная, винтовая крышка, градуирована 94х94х141 мм горл. GL80  500 мл.",https://himbio.ru/upload/resize_cache/webp/upload/iblock/3fc/3fc820919fd547e8b8fa856f76d41801.webp,1506024,"– Производится из боросиликатного стекла длс лучшей химической и термической стойкости
– Широкая горловина (80 мм) и специальная конструкция резьбы предназначены для лёгкого пересыпания порошков и гранул и переливания жидкостей
– Большая площадь основания обеспечивает устойчивость
– Гладкая поверхность обеспечивает лёгкую очистку
– Имеется покрытое эмалью окно для маркировки",БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Бутыли,"Бутыль для реактивов, прозрачная, с притертой пробкой, градуирована 70х145 мм горл. 19/26   250 мл.",https://himbio.ru/upload/resize_cache/webp/upload/iblock/735/735aa38b5128574d9953bdb1646d6cd0.webp,1500021,"– Соответствуют IS 1388 (Часть II), ISO / DIN 4796 (Часть II)
– Эти узкие горлышка бутылей для хранения реактивов имеют прочное основание горлышка
– Все бутыли оснащены стойким матовым покрытым эмалью окном для маркировки
– Эти бутыли механически прочные и химически стойкие
– Поставляются с цельностеклянной пробкой",БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
